Designator,Footprint,Quantity,Value,LCSC Part #
"@HOLE0, @HOLE1, @HOLE2, @HOLE3, @HOLE4, @HOLE5, @HOLE6, @HOLE7",,8,,
ACT0,CHIPLED_0805_NOOUTLINE,1,GREEN,
"C0, CAMERA0",SFW15R2STE1LF,2,SFW15R-2STE1LF,
"C1, C2, C3, C4",C0805,4,10uF,
C5,C0805,1,100nF,
HDMI0,HDMI_MOLEX_47151-0001,1,HDMI_MOLEX_47151-0001,C428484
IC0,SOT65P210X110-5N,1,MC74VHC1G14DFT1G,
"J1, J2",DF40C100DS04V51,2,DF40C-100DS-0.4V_51_,DF40C-100DS-0.4V(51)
"JP1, JP3, JP4, JP5, JP6",PinHeader_1x02_P2.54mm_Vertical,5,Jumper_2_Open,
JP2,2X20,1,PINHD-2X20,
PWR0,CHIPLED_0805_NOOUTLINE,1,RED/ORANGE,
"R1, R2",R0805,2,1k,
"R10, R11",R0805,2,2.2k,
"R3, R4, R5",R0805,3,10K,
"R6, R7, R8, R9",R0805,4,5.1k,
SD_CARD0,TFP09-2--12B,1,MICRO_SD_CARD_,
"U1, U2",NS-Tech_Grove_1x04_P2mm_Vertical,2,~,
U3,Texas_DRT-3,1,TPD2EUSB30A,
U4,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,1,SHTC3,
"US0, US1",HRO_31_M_12_USB_C,2,HRO_31_M_12_USB_C,
